구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023082500100341,2023년 8월,금요일,부산광역시 중구 남포동6가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,보행자,남,41-50세,경상
2023082500100386,2023년 8월,금요일,부산광역시 금정구 구서동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,65세 이상,상해없음,보행자,여,31-40세,경상
2023082500100387,2023년 8월,금요일,부산광역시 금정구 금사동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,51-60세,상해없음,보행자,남,65세 이상,중상
2023082500100389,2023년 8월,금요일,부산광역시 사상구 주례동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,65세 이상,상해없음,보행자,남,65세 이상,경상
2023082500100453,2023년 8월,금요일,부산광역시 동래구 명장동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,65세 이상,상해없음,보행자,여,41-50세,중상
2023082500100454,2023년 8월,금요일,부산광역시 해운대구 반여동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,12세 이하,부상신고
2023082500100456,2023년 8월,금요일,부산광역시 수영구 망미동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,65세 이상,상해없음,승용,남,41-50세,경상
2023082500100504,2023년 8월,금요일,부산광역시 동구 범일동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,61-64세,상해없음
2023082500100506,2023년 8월,금요일,부산광역시 사하구 하단동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,경상,승용,남,21-30세,부상신고
2023082500100716,2023년 8월,금요일,부산광역시 사상구 주례동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,보행자,남,65세 이상,부상신고
2023082600100004,2023년 8월,토요일,부산광역시 연제구 연산동,중상사고,0,1,0,1,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,이륜,남,31-40세,중상,승용,남,65세 이상,부상신고
